"","log_growth_rt","age","annual_tmax","annual_p","spring_snow","spring_rain","grow_dmean","monthly_dmax","max_dsum","aet","pet","grow_gdd","comp_number","annual_tmean","micro","PICO","PIEN","ABLA"
"log_growth_rt",1,0.0699297778464723,0.0259202672145077,-0.00341717680660619,-0.0299069175727868,0.00451550300091987,0.119777260930287,0.127434453699816,0.119245363363119,0.0195492330643733,0.121532933636989,-0.0347680480460152,0.0177608212846816,-0.0497730453849077,-0.0288337236520958,0.107367408643058,-0.0133551824968942,-0.0823390764024127
"age",0.0699297778464723,1,0.321806324471507,0.42435365126877,0.294367025288061,0.304136944258742,-0.182098241897229,0.130722860329505,-0.0600484693735973,0.56169466830488,0.0375629470109645,-0.577049391681095,0.678367884039787,-0.628492617840264,-0.272413360500751,0.650179652822752,0.290084166526619,0.389313994852627
"annual_tmax",0.0259202672145077,0.321806324471507,1,0.486349398984442,0.577152161047834,0.648145996710552,0.183293441006559,0.156114592318216,0.168299691452493,-0.252998072357043,0.0796244976584793,0.531659526135066,0.0919605143153916,0.453362770495481,0.104147876906948,0.281516243951955,-0.135105856356391,-0.000499335751329312
"annual_p",-0.00341717680660619,0.42435365126877,0.486349398984442,1,0.903976541531074,0.843777494007396,-0.0418839565891555,0.181640004983491,-0.149511216511428,0.366234238250145,0.0977501129204905,0.0132406420780961,0.194052264499533,-0.11709585857023,-0.0473257392768822,0.338742697254482,-0.127052541125832,0.185467763433424
"spring_snow",-0.0299069175727868,0.294367025288061,0.577152161047834,0.903976541531074,1,0.67333812184624,0.00145159780555272,0.159189929871286,-0.0927714618519322,0.206530039570771,0.0790244795075197,0.140666840706129,0.0771159530376841,0.016644638079032,0.00380825457876371,0.210978452153919,-0.122493694089333,0.130771705132593
"spring_rain",0.00451550300091987,0.304136944258742,0.648145996710552,0.843777494007396,0.67333812184624,1,0.0746397029307626,0.177572694001908,-0.0272143559642289,0.10350237769757,0.110063682803739,0.340132409293064,0.109014896151219,0.22882849222056,0.0555476688886698,0.319097159593543,-0.187800061292855,0.0799283560656133
"grow_dmean",0.119777260930287,-0.182098241897229,0.183293441006559,-0.0418839565891555,0.00145159780555272,0.0746397029307626,1,0.911157694701814,0.970775903555109,-0.0699073634746912,0.927020979965665,0.223393767873124,-0.399255376479348,0.193887166733072,0.138173562064558,-0.151229105168159,-0.187337906050037,-0.326255547922565
"monthly_dmax",0.127434453699816,0.130722860329505,0.156114592318216,0.181640004983491,0.159189929871286,0.177572694001908,0.911157694701814,1,0.910680806611053,0.320413867604391,0.98906064638803,-0.0659768628922043,-0.164743191019672,-0.116674872955592,0.0185931338308676,0.0294142968574294,-0.105445023391979,-0.140081314433082
"max_dsum",0.119245363363119,-0.0600484693735973,0.168299691452493,-0.149511216511428,-0.0927714618519322,-0.0272143559642289,0.970775903555109,0.910680806611053,1,0.00155242989715521,0.926025435731412,0.116420848424586,-0.297458301168554,0.103247791926411,0.0906672551684384,-0.0979126758843547,-0.0926057722351329,-0.265024066228802
"aet",0.0195492330643733,0.56169466830488,-0.252998072357043,0.366234238250145,0.206530039570771,0.10350237769757,-0.0699073634746912,0.320413867604391,0.00155242989715521,1,0.309286412220697,-0.655322111496141,0.421228522874999,-0.681442682404605,-0.236044418236036,0.310563478907163,0.161726840884348,0.346609968797
"pet",0.121532933636989,0.0375629470109645,0.0796244976584793,0.0977501129204905,0.0790244795075197,0.110063682803739,0.927020979965665,0.98906064638803,0.926025435731412,0.309286412220697,1,-0.0333931610523619,-0.222258533245555,-0.0713413242189727,0.0429850363673134,-0.0274170114406774,-0.117791610743699,-0.180719001450609
"grow_gdd",-0.0347680480460152,-0.577049391681095,0.531659526135066,0.0132406420780961,0.140666840706129,0.340132409293064,0.223393767873124,-0.0659768628922043,0.116420848424586,-0.655322111496141,-0.0333931610523619,1,-0.484958444694792,0.988658475602484,0.356927991029779,-0.251555871103596,-0.374890699409645,-0.345691980206087
"comp_number",0.0177608212846816,0.678367884039787,0.0919605143153916,0.194052264499533,0.0771159530376841,0.109014896151219,-0.399255376479348,-0.164743191019672,-0.297458301168554,0.421228522874999,-0.222258533245555,-0.484958444694792,1,-0.490858144036525,-0.249772923980408,0.467117766168946,0.388619320608685,0.590862270974327
"annual_tmean",-0.0497730453849077,-0.628492617840264,0.453362770495481,-0.11709585857023,0.016644638079032,0.22882849222056,0.193887166733072,-0.116674872955592,0.103247791926411,-0.681442682404605,-0.0713413242189727,0.988658475602484,-0.490858144036525,1,0.360629833453951,-0.303332467620289,-0.350919980034246,-0.341413939875153
"micro",-0.0288337236520958,-0.272413360500751,0.104147876906948,-0.0473257392768822,0.00380825457876371,0.0555476688886698,0.138173562064558,0.0185931338308676,0.0906672551684384,-0.236044418236036,0.0429850363673134,0.356927991029779,-0.249772923980408,0.360629833453951,1,-0.12497853859833,-0.153079796044733,-0.195702734103735
"PICO",0.107367408643058,0.650179652822752,0.281516243951955,0.338742697254482,0.210978452153919,0.319097159593543,-0.151229105168159,0.0294142968574294,-0.0979126758843547,0.310563478907163,-0.0274170114406774,-0.251555871103596,0.467117766168946,-0.303332467620289,-0.12497853859833,1,0.0816849930199614,0.130952598975267
"PIEN",-0.0133551824968942,0.290084166526619,-0.135105856356391,-0.127052541125832,-0.122493694089333,-0.187800061292855,-0.187337906050037,-0.105445023391979,-0.0926057722351329,0.161726840884348,-0.117791610743699,-0.374890699409645,0.388619320608685,-0.350919980034246,-0.153079796044733,0.0816849930199614,1,0.267408653754146
"ABLA",-0.0823390764024127,0.389313994852627,-0.000499335751329312,0.185467763433424,0.130771705132593,0.0799283560656133,-0.326255547922565,-0.140081314433082,-0.265024066228802,0.346609968797,-0.180719001450609,-0.345691980206087,0.590862270974327,-0.341413939875153,-0.195702734103735,0.130952598975267,0.267408653754146,1
